"NPP","NoUrut","kd_Mutasi","kd_Unit","kd_afd","kd_bud","kd_Jabatan","TMT","No_SK","tgl_sk","Jns_mutasi","NmPejabat","st_tinggal","UserId","tglinput",
"01109567031911","002","L","13","02","02","060000003","01-11-2016 00:00:00","KEP/III.1/00/XI/2016","01-11-2016 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01048467022786","004","R","13","12","02","060524241","01-09-2007 00:00:00","SK/DI/PUR/55/VIII/2007","31-08-2007 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017862015944","002","L","13","02","02","060523290","01-11-2016 00:00:00","SB/III.1/4187/IX/2016","26-09-2016 00:00:00","","Kabag SDM","","","01-01-1900 00:00:00",
"01108567026426","001","L","13","14","02","060523135","01-09-2010 00:00:00","SK/IV.1/PUR/089/VIII/2010","31-08-2010 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078562025604","001","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078465023225","004","R","13","20","02","060209101","01-10-2004 00:00:00","SK/DI/PUR/201/IX/2004","30-09-2004 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048467022788","002","R","13","11","02","060523290","01-05-2003 00:00:00","SK/D.I/PUR/73/IV/2003","30-04-2003 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01108566026413","03","R","13","14","02","060523290","01-05-2006 00:00:00","01","30-04-2006 00:00:00","","ADM","","MIGRASI","01-05-2015 01:49:55",
"01048465022741","002","R","13","21","02","060210108","01-04-2006 00:00:00","SK/DI/PUR/41/IV/2006","05-04-2006 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01108567026428","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01018063018660","006","R","13","02","02","060523135","01-05-1998 00:00:00","SK/DI/PUR/114/IV/1998","29-04-1998 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078162020912","002","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048463022699","001","L","13","10","02","060523290","01-01-2015 00:00:00","KEP/III.1/PUR/221B/X/2014","31-12-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048464022737","008","P","13","11","02","060405253","01-02-2004 00:00:00","SK/DI/PUR/24/I/2004","31-01-2004 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01058561025264","003","R","13","11","02","060524139","01-12-2004 00:00:00","SK/DI/PUR/230/XI/2004","30-11-2004 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01118262110182","001","L","13","02","02","060405153","01-09-2016 00:00:00","KEP/III.1/473/VIII/2016","24-08-2016 00:00:00","","DIREKTUR UTAMA","","","01-01-1900 00:00:00",
"01110674040751","008","P","13","14","02","060524240","01-11-2006 00:00:00","SK/DI/1006/XI/2006","01-11-2006 00:00:00","","DIREKTUR SDM","","","01-01-1900 00:00:00",
"01078464023214","001","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01037963017652","005","R","13","10","02","060524140","01-04-2006 00:00:00","SK/DI/PUR/41/IV/2006","05-04-2006 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01078161020908","002","R","13","02","02","060523290","01-02-2016 00:00:00","SB/III.1/3973/XII/2016","10-12-2015 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078162020909","001","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01108566026411","001","R","13","14","02","060523135","01-04-2006 00:00:00","SK/DI/PUR/41/IV/2006","05-04-2006 00:00:00","","ADM","","","01-01-1900 00:00:00",
"02017860015932","001","L","13","02","02","060408259","01-02-2015 00:00:00","SB/III.1/4865/XII/2015","23-12-2014 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"02017860015932","002","L","13","02","02","060523290","01-01-2015 00:00:00","KEP/III.1/PUR/221B/X/2014","31-12-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078365021788","001","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"02017860015936","002","L","13","02","02","060523290","01-06-2015 00:00:00","SB/III.1/1382/IV/2015","15-04-2015 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"02017860015932","004","R","13","02","02","060524242","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01058568025321","001","R","13","02","02","060408259","01-11-2008 00:00:00","SK/D.I/PUR/134/XI/2008","01-11-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"03118060020509","001","L","13","02","02","060408100","01-06-2015 00:00:00","SB/III.1/1382/IV/2015","15-04-2015 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"03118060020509","003","L","13","02","02","060320129","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"02017860015936","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048462022693","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078465023218","001","L","13","14","02","060524241","01-01-2015 00:00:00","KEP/III.1/PUR/221/XII/2014","31-12-2014 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01078465023218","002","R","13","14","02","060524241","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078465023223","001","L","13","10","02","060509103","01-01-2015 00:00:00","KEP/III.1/PUR/221/XII/2014","31-12-2014 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01078465023223","002","R","13","10","02","060523135","01-01-2008 00:00:00","SK/D.I/PUR/02/I/2008","11-01-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01058568025321","002","R","13","10","02","060408259","01-07-2008 00:00:00","SK/D.I/PUR/80/VI/2008","30-06-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078568025635","001","L","13","14","02","060524241","01-01-2015 00:00:00","KEP/III.1/PUR/221/XII/2014","31-12-2014 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01078568025635","002","R","13","14","02","060524241","01-01-2009 00:00:00","SK/DI/PUR/152/XII/2008","28-12-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078464023211","001","R","13","14","02","060523290","01-01-2003 00:00:00","SK/DI/PUR/XII/192/2002","31-12-2002 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078568025635","003","R","13","10","02","060523290","01-09-2007 00:00:00","SK/DI/PUR/55/VIII/2007","31-08-2007 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01060166036210","001","R","13","02","02","060405154","01-06-2001 00:00:00","SK/D.I/424/V/2001","21-05-2001 00:00:00","","DIREKTUR SDM","","","01-01-1900 00:00:00",
"01088563026156","001","P","13","02","02","060400010","01-01-2014 00:00:00","KEP/III.1/36/I/2014","27-01-2014 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01078465023225","001","R","13","14","02","060509100","01-11-2008 00:00:00","SK/D.I/PUR/134/XI/2008","01-11-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01088563026156","002","P","13","02","02","060400004","01-07-2013 00:00:00","KEP/III.1/430/VII/2013","10-07-2013 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01078465023225","002","R","13","10","02","060509100","01-09-2007 00:00:00","SK/DI/PUR/55/VIII/2007","31-08-2007 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078465023225","003","R","13","20","02","060209201","01-02-2006 00:00:00","SK/D.I/PUR/17/I/2006","31-01-2006 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078365021788","002","R","13","02","02","060523290","01-02-2016 00:00:00","SB/III.1/3973/XII/2016","10-12-2015 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01118561026489","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01110672040756","001","P","13","14","02","060523290","01-11-2006 00:00:00","SK/D.I/1006/XI/2006","01-11-2006 00:00:00","","DIREKTUR SDM","","","01-01-1900 00:00:00",
"01118569026506","001","R","13","10","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"15108965028386","001","R","13","02","02","060400001","01-08-2015 00:00:00","KEP/III.1/341/VIII/2015","04-08-2015 00:00:00","","DIREKTUR SDM","","","01-01-1900 00:00:00",
"01118560026486","001","L","13","02","02","060524141","01-12-2014 00:00:00","SB/III.1/3834/X2014","22-10-2014 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01118560026486","002","R","13","12","02","060524241","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01118565026498","01","L","13","20","02","060210206","01-01-1900 00:00:00","","01-01-1900 00:00:00","","","","MIGRASI","01-05-2015 01:49:53",
"01118565026498","02","R","13","20","02","060210206","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","MIGRASI","01-05-2015 01:49:53",
"01118566026500","001","L","13","10","02","060523290","01-04-2015 00:00:00","KEP/III.1/PUR/018/III/2015","31-03-2015 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01118566026500","002","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01118566026501","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01128562026625","001","R","13","20","02","060210206","01-07-2001 00:00:00","SK/III.I/PUR/115/VII/2001","01-07-2001 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017867015948","001","L","13","02","02","060523290","01-06-2015 00:00:00","SB/III.1/1382/IV/2015","15-04-2015 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"02017867015948","002","R","13","12","02","060523290","01-12-2005 00:00:00","SK/DI/PUR/153/XII/2005","02-12-2005 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01128562026625","002","R","13","02","02","060210206","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048464022735","001","L","13","30","02","060319123","01-01-2015 00:00:00","KEP/III.1/PUR/221B/XII/2014","31-12-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01037963017652","006","R","13","10","02","060509103","01-02-2003 00:00:00","SK/DI/PUR/15/I/2003","31-01-2003 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01037963017652","007","R","13","10","02","060524239","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"02017860015931","002","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01037963017652","008","L","13","10","02","060524239","01-03-1979 00:00:00","SK/D.I/13/108/III/1979","01-01-1979 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01028564024882","001","L","13","11","02","060524141","01-01-2015 00:00:00","KEP/III.1/PUR/221B/X/2014","31-12-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017860015933","001","L","13","02","02","060523290","01-02-2015 00:00:00","SB/III.1/4865/XII/2014","23-12-2014 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"02017860015933","002","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01028564024882","003","L","13","21","02","060210106","01-06-2013 00:00:00","SK/III.1/PUR/056/V/2013","31-05-2013 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01028564024882","004","L","13","21","02","060211112","01-02-2010 00:00:00","SK/IV.1/PUR/15/I/2010","01-01-2010 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01058565025272","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01089364030728","003","R","35","10","02","060523100","01-05-2007 00:00:00","SPE.3/SK/027/IV/2007","30-04-2007 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01089364030728","004","R","35","12","02","060523100","01-04-2002 00:00:00","SPE.3/SK/092/IV/2002","30-03-2002 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048465022750","004","R","13","20","02","060217213","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01089364030728","006","P","35","10","02","060523100","01-08-1993 00:00:00","10:4:2.c-918/1993","01-08-1993 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01128565026627","003","R","13","30","02","060319123","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01128565026627","004","R","13","30","02","060319123","10-06-1998 00:00:00","DI/PUR/177/VI/1998","10-06-1998 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078465023216","001","L","13","02","02","060212112","01-02-2015 00:00:00","SB/III.1/4865/XII/2015","23-12-2014 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01078465023216","002","L","13","21","02","060212112","01-05-2012 00:00:00","SK/IV.1/PUR/53/IV/2012","30-04-2012 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017862015946","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01077961018071","001","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078465023216","003","L","13","21","02","060211199","01-11-2009 00:00:00","SK/IV.1/PUR/84/X/2009","31-10-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078465023216","004","L","13","21","02","060210204","01-08-2009 00:00:00","SK/IV.1/PUR/53/VIII/2009","08-08-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078465023216","005","R","13","12","02","060523290","01-07-2009 00:00:00","SK/IV.1/PUR/46/VI/2009","30-06-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078465023216","006","R","13","11","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01028564024882","005","R","13","02","02","060408259","01-09-2002 00:00:00","SK/DI/PUR/142/IX/2002","05-09-2002 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01028564024882","006","R","13","10","02","060524239","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01089364030728","008","P","35","10","02","060523100","01-07-1993 00:00:00","10:4:2.c-918/1993","01-07-1993 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01077961018071","003","R","13","02","02","060523290","01-02-2016 00:00:00","SB/III.1/3973/XII/2016","10-12-2015 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048461022686","002","R","13","12","02","060524239","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048461022686","003","R","13","02","02","060523290","01-02-2016 00:00:00","SB/III.1/3973/XII/2016","10-12-2015 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01028565024896","004","R","13","11","02","060523100","01-11-2006 00:00:00","SK/D.I/PUR/116/X/2006","31-10-2006 00:00:00","","ADM","","","01-01-1900 00:00:00",
"06017859015994","004","L","13","20","02","060500008","01-08-2010 00:00:00","SK/IV.1/PUR/097/VII/2010","31-07-2010 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"06017859015994","005","L","13","20","02","060211122","01-01-2010 00:00:00","SK/IV.1/PUR/102/XII/2009","31-12-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"06017859015994","006","R","13","20","02","060210107","01-11-2008 00:00:00","SK/D.I/PUR/134/XI/2008","01-11-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"06017859015994","007","R","13","11","02","060523135","01-04-2008 00:00:00","SK/D.I/PUR/III/2008","31-03-2008 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01028565024896","005","R","13","10","02","060524139","01-04-2006 00:00:00","SK/DI/PUR/41/IV/2006","05-04-2006 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01087460010489","005","L","13","20","02","060211213","01-08-1974 00:00:00","SK/D.I/13/118/XII/2000","01-12-1974 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01018360021631","004","L","13","11","02","060523100","01-12-2012 00:00:00","SK/III.1/PUR/102/XI/2012","25-11-2012 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078061020098","001","R","13","10","02","060523290","01-03-2013 00:00:00","SK/III.1/PUR/20/II/2","28-02-2013 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01078061020098","002","R","13","14","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078061020098","003","L","13","14","02","060523290","01-07-1980 00:00:00","SK/D.I/13/108/VII/1980","01-07-1980 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01018360021631","005","L","13","10","02","060523100","01-03-2010 00:00:00","SK/IV.1/PUR/25/II/2010","27-02-2010 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01018360021631","006","R","13","10","02","060523100","01-01-2008 00:00:00","SK/D.I/PUR/02/I/2008","11-01-2008 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01018360021631","007","R","13","12","02","060523100","01-02-2005 00:00:00","SK/DI/PUR/11/II/2005","28-02-2005 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01018360021631","008","R","13","12","02","060524100","01-03-2004 00:00:00","SK/DI/PUR/45/III/2004","03-03-2004 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01109069029546","001","L","13","20","02","060200011","01-11-2016 00:00:00","KEP/III.1/00/XI/2016","01-11-2016 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01048465022750","002","R","13","11","02","060523290","01-05-2003 00:00:00","KEP/III.1/PUR/76/V/2003","01-05-2003 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01109069029546","002","R","13","20","02","060200001","01-09-2016 00:00:00","KEP/III.1/658/VIII/2016","31-08-2016 00:00:00","","DIREKTUR UTAMA","","","01-01-1900 00:00:00",
"01018360021631","009","R","13","10","02","060524100","01-06-2002 00:00:00","SK/DI/PUR/89/V/2002","31-05-2002 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01018360021631","010","R","13","20","02","060210100","01-11-2001 00:00:00","SK/DI/PUR/113/X/2001","27-10-2001 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01018360021631","011","R","13","02","02","060524100","01-01-2001 00:00:00","SK/PUR/003/I/2001-R","01-01-2001 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01109069029546","003","P","15","20","02","060200001","01-08-2015 00:00:00","KEP/III.1/       /VII/2015","29-07-2015 00:00:00","","DIR SDM & UMUM","","","01-01-1900 00:00:00",
"01048462022691","001","R","13","12","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01109069029546","002","L","15","12","02","060500001","01-01-2015 00:00:00","XX","31-12-2014 00:00:00","","ADM","","","01-01-1900 00:00:00",
"01057861016475","001","L","13","21","02","060211113","01-01-2015 00:00:00","KEP/III.1/PUR/221/XII/2014","31-12-2014 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01048465022750","003","R","13","20","02","060523290","01-09-2000 00:00:00","SK/PUR/91/VIII/2000","12-08-2000 00:00:00","","ADMNISTRATUR","","","01-01-1900 00:00:00",
"01109069029546","002","R","15","11","02","060500002","01-11-2013 00:00:00","KEP/III.1/697/X/2013","29-10-2013 00:00:00","","DIR SDM & UMUM","","","01-01-1900 00:00:00",
"01057861016475","002","L","13","21","02","060211113","01-01-2015 00:00:00","KEP/III.1/PUR/221B/XII/2014","31-12-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01057861016475","003","R","13","21","02","060210107","01-06-2009 00:00:00","SK/IV.1/PUR/32/V/2009","30-05-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01049468030940","001","L","13","21","02","060200001","01-09-2016 00:00:00","KEP/III.1/658/VIII/2016","31-08-2016 00:00:00","","DIREKTUR UTAMA","","","01-01-1900 00:00:00",
"01049468030940","002","L","34","02","02","060200001","01-12-2012 00:00:00","KEP/III.1/7859/XII/2012","01-12-2012 00:00:00","","DIR SDM","","","01-01-1900 00:00:00",
"01049468030940","003","L","13","21","02","060200011","01-11-2016 00:00:00","KEP/III.1/00/XI/2016","01-11-2016 00:00:00","","DIREKSI","","","01-01-1900 00:00:00",
"01028565024889","005","R","13","10","02","060524239","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01078061020098","004","R","13","02","02","060523290","01-02-2016 00:00:00","SB/III.1/3973/XII/2016","10-12-2015 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048464022735","002","L","13","30","02","060319123","01-02-2014 00:00:00","SK/III.1/PUR/10/I/2014","30-01-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048464022735","003","L","13","30","02","060320125","01-09-2013 00:00:00","SK/III.1/PUR/079/VIII/2013","31-08-2013 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048464022735","004","L","13","30","02","060321131","01-10-2010 00:00:00","SK/IV.1/PUR/095/IV/2010","30-09-2010 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017867015948","003","R","13","12","02","060509203","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01048465022740","001","L","13","10","02","060524100","01-08-2014 00:00:00","KEP/III.1/PUR/077/VI/2014","04-08-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01028566024902","001","R","13","11","02","060523290","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01058062019678","001","L","13","20","02","060400200","01-04-2014 00:00:00","KEP/III.1/PUR/36/IV/2014","24-04-2014 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01057861016475","004","R","13","21","02","060209201","15-09-2007 00:00:00","SK/D.I/PUR/63.A/IX/2007","17-09-2007 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01058561025265","001","R","13","30","02","060319223","01-02-2012 00:00:00","SK/IV.1/PUR/11/I/2012","31-01-2012 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048465022740","002","L","13","21","02","060500007","28-03-2013 00:00:00","SK/III.1/PUR/30/III/2013","27-03-2013 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048465022740","003","L","13","21","02","060211100","01-09-2012 00:00:00","SK/III.1/PUR/76/VIII/2012","31-08-2012 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01048465022740","004","R","13","21","02","060211122","01-06-2009 00:00:00","SK/IV.1/PUR/32/V/2009","30-05-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"02017460009588","001","L","13","12","02","060523135","01-01-2010 00:00:00","SK/IV.1/PUR/103/XII/2009","31-12-2009 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
"01057861016475","005","R","13","21","02","060210206","01-01-2000 00:00:00","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","","Direktur SDM","","","01-01-1900 00:00:00",
"01058062019678","003","R","13","20","02","060500007","01-03-2013 00:00:00","SK/III.1/PUR/20/II/2013","28-02-2013 00:00:00","","ADMINISTRATUR","","","01-01-1900 00:00:00",
