"NPP","NoUrut","St_Pegawai","Golongan","MK","TMT","JnsKenaikan","NoSK","TglSK","NmPejabat","UserId","tglinput",
"13057758014829","002","KB","03","04","01-01-2013 00:00:00","0","KEP/III.1/192/IV/2013","02-04-2013 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01078165020921","012","KB","01","04","01-01-2000 00:00:00","7","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","Direktur SDM","","01-01-1900 00:00:00",
"01087661014037","07","KB","03","05","01-07-2005 00:00:00","0","SK/DI/994/IX/2005","16-09-2005 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01077661013826","012","KB","01","04","01-07-2001 00:00:00","0","SK/DI/713/VII/2001","24-07-2001 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01077460010253","06","KB","01","07","01-07-2004 00:00:00","0","SK/DI/908/X/2004","20-10-2004 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01118568026505","014","KB","01","03","01-01-2000 00:00:00","7","SK/D.I/13/05/VI/2000","01-06-2000 00:00:00","Direktur SDM","","01-01-1900 00:00:00",
"01048466022775","07","KB","01","08","01-07-2005 00:00:00","0","SK/DI/994A/IX/2005","16-09-2005 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01078364021786","07","KB","01","08","01-07-2005 00:00:00","0","SK/DI/994A/IX/2005","16-09-2005 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01108567026424","10","KB","01","11","01-07-2008 00:00:00","0","SK/D.I/1032/XI/2008-","06-11-2008 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"17117558012754","05","KB","01","06","01-01-2004 00:00:00","0","SK/DI/194/III/2004","15-03-2004 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01058562025266","010","KB","01","06","01-07-2003 00:00:00","0","SK/DI/634/VII/2003","23-07-2003 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01058562025267","05","KB","01","06","01-01-2004 00:00:00","0","SK/DI/194/III/2004","15-03-2004 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01048466022782","07","KB","01","05","01-01-2006 00:00:00","0","SK/D.I/280/III/2006","22-03-2006 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"01027860022710","004","KB","02","04","01-01-2011 00:00:00","0","KEP/IV.1/455/IV/2011","20-04-2011 00:00:00","DIREKSI","","01-01-1900 00:00:00",
"02017862015943","11","KB","01","12","01-07-2009 00:00:00","0","SK/IV.1/889/X/2009","26-10-2009 00:00:00","DIREKSI","MIGRASI","01-05-2015 01:55:45",
