"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK","Waktu","NoFaktur","IDPembeli","BiayaBank",
"74","BK","BRI","BRI202002-00007","29/02/2020 0:00:00","BRI Banjarsari","Banjarsari","Biaya Bank","110000002","001","01","02","426060000","","","BIAYA BANKBiaya Administrasi Bank bln Feb 2020","31000","0","K002","03/03/2020 9:41:24","ata","","01","","","","0",
"74","BK","BNI","BNI202002-00001","29/02/2020 0:00:00","BNI","Serang","Biaya Bank","110000000","001","01","02","426060000","","","BIAYA BANKBiaya Administrasi Bank Bln Feb 2020","50000","0","K002","04/03/2020 8:50:21","ata","","01","","","","0",
"74","BK","MAN","MAN202002-00001","29/02/2020 0:00:00","Bank Mandiri","Serang","Biaya Administrasi Bank","110000001","001","01","02","426060000","","","BIAYA BANKBiaya Administrasi Bank Mandir BulanFebruari 2020 Sebesar................","6000","0","K002","06/03/2020 10:30:27","ata","","01","","","","0",
