"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK","NoBOM",
"19","03-01-2020 00:00:00","12:17:14","A58202001-00016","A58202001-V00016","03-01-2020 00:00:00","","KEBUN BAGJANEGARA","","02","00","001","00301047","30","30","False","","329197,126256983","080022000","","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:19:20","A58202001-00018","A58202001-V00018","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00301021","20","20","False","","2110000","196240000","","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:28:56","A53202001-00002","A53202001-V00002","03-01-2020 00:00:00","","TEKNIK","MIRA MARE","","00","001","00100073","0","1000","False","1","4110000","196240000","","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:19:46","A58202001-00019","A58202001-V00019","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00100073","1000","1000","False","","4121506,77120456","196090000","","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:19:46","A58202001-00019","A58202001-V00019","03-01-2020 00:00:00","","TEKPOL","","30","00","002","00100027","500","500","False","","7925000","196090000","","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:13:24","A58202001-00012","A58202001-V00012","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00301047","10","10","False","","109732,374258731","201030000","D8580CV","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:13:24","A58202001-00012","A58202001-V00012","03-01-2020 00:00:00","","TEKPOL","","30","00","002","00301047","10","10","False","","109732,374258731","201030000","D8354DI","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:14:09","A58202001-00013","A58202001-V00013","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00301047","10","10","False","","109732,373703949","201030000","Z9466DC","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:14:09","A58202001-00013","A58202001-V00013","03-01-2020 00:00:00","","TEKPOL","","30","00","002","00301047","10","10","False","","109732,373703949","201030000","Z8366EZ","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:14:09","A58202001-00013","A58202001-V00013","03-01-2020 00:00:00","","TEKPOL","","30","00","003","00301047","10","10","False","","109732,373703949","201030000","D8999YA","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:15:41","A58202001-00014","A58202001-V00014","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00301047","8","8","False","","87785,8991783256","603110400","0000","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:16:08","A58202001-00015","A58202001-V00015","03-01-2020 00:00:00","","TEKPOL","","30","00","001","00301047","10","10","False","","109732,37374861","200030000","D1277FY","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:16:08","A58202001-00015","A58202001-V00015","03-01-2020 00:00:00","","TEKPOL","","30","00","002","00301047","10","10","False","","109732,37374861","200030000","D1842QA","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:18:38","A58202001-00017","A58202001-V00017","03-01-2020 00:00:00","","PENGOLAHAN","","20","00","001","00301047","17","17","False","","186545,038695163","605040000","0000","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:18:38","A58202001-00017","A58202001-V00017","03-01-2020 00:00:00","","PENGOLAHAN","","20","00","002","00301003","20","20","False","","209126,382978723","605040000","0000","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:18:38","A58202001-00017","A58202001-V00017","03-01-2020 00:00:00","","PENGOLAHAN","","20","00","003","00100081","100","100","False","","815403,03030303","603070000","0000","0","","","","07-01-2020 00:00:00","gudang","","01","",
"19","03-01-2020 00:00:00","12:18:38","A58202001-00017","A58202001-V00017","03-01-2020 00:00:00","","PENGOLAHAN","","20","00","004","00301021","15","15","False","","1582500","603100300","0000","0","","","","07-01-2020 00:00:00","gudang","","01","",
