"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK","Waktu","NoFaktur","IDPembeli","BiayaBank",
"65","KT","KAS","SALDO AWAL","01/10/2020 0:00:00","KAS","","","100000000","001","","","","","","","290473983","0","","02/10/2020 16:11:51","TUTUP_BUKU","","01","","","","0",
"65","KT","KAS","SALDO AWAL","01/10/2020 0:00:00","KAS","","","100000000","001","","","","","","","-289186983","0","","02/10/2020 16:11:51","TUTUP_BUKU","","02","","","","0",
"65","KT","MDR","SALDO AWAL","01/10/2020 0:00:00","BANK MANDIRI","","","110000001","001","","","","","","","-4277676122","0","","02/10/2020 16:11:51","TUTUP_BUKU","","01","","","","0",
"65","KT","MDR","SALDO AWAL","01/10/2020 0:00:00","BANK MANDIRI","","","110000001","001","","","","","","","4279499612","0","","02/10/2020 16:11:51","TUTUP_BUKU","","02","","","","0",
