"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK","NoBOM",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01100723","0","1","False","","80250","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01101417","0","1","False","","203333,166666667","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01101466","0","0","False","","0,185885167971719","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01102117","0","1","False","","287500","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01102323","0","0","False","","0,333333333328483","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01103186","0","0","False","","0,166666666627862","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01403746","0","0","False","","-0,364473690278828","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01404579","0","0","False","","-0,205128205008805","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01404762","0","0","False","","-0,448484849184752","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
"65","01/10/2020 0:00:00","00:00:00","SALDO AWAL","","01/01/1900 0:00:00","","","","","","001","01404878","0","0","False","","0,333333333022892","","","0","","","","02/10/2020 16:11:36","TUTUP_BUKU","","01","",
